AnimalID 1,ET1,ET2,ET3,MRID,Sex,MR22f,MR22w,S22,MR23,S23,MR24,S24,MR25,Notes,,,,,,,,,,,,
2C-23-F8,836,,,,F,,,,,2C,,,,,,,,,,,,,,,,
2C-23-M1,533,,,533,M,,,,2C,,,,,,,,,,,,,,,,,
2C-23-M2,534,,,534,M,,,,2C,,,,,,,,,,,,,,,,,
2C-23-M3,1068,,,1068,M,,,,2C,,,,,,,,,,,,,,,,,
2C-23-M4,812,,,812,M,,,,2C,,,,,,,,,,,,,,,,,
2C-23-M5,536,,,536,M,,,,2C,,,,,,,,,,,,,,,,,
2C-23-M6,540,,,540,M,,,,2C,,,,,,,,,,,,,,,,,
2C-23-M7,834,,,834,M,,,,2C,,,,,,,,,,,,,,,,,
2C-23-M8,515,,,,M,,,,,2C,,,,,,,,,,,,,,,,
2C-23-M9,851,1601,1601,851 / 1601,M,,,,,2C,2C,,,,,,,,,,,,,,,
2C-23-M10,850,1602,,850 / 1602,M,,,,,2C,2C,,,,,,,,,,,,,,,
2C-24-F1,1240,,,1240,F,,,,,,2C,2C,,,,,,,,,,,,,,
2C-24-F2,1677,,,1677,F,,,,,,2C,,,,,,,,,,,,,,,
2C-24-F3,1243,,,1243,F,,,,,,2C,,,,,,,,,,,,,,,
2C-24-F4,1246,,,1246,F,,,,,,2C,,,,,,,,,,,,,,,
2C-24-F5,1637,,,,F,,,,,,,2C,,,,,,,,,,,,,,
2C-24-M1,1799,,,1799,M,,,,,,2C,,2C,,,,,,,,,,,,,
2C-24-M2,1800,,,1800,M,,,,,,2C,,,,,,,,,,,,,,,
2C-24-M3,1676,,,1676,M,,,,,,2C,2C,2C,,,,,,,,,,,,,
2C-24-M4,1242,,,1242,M,,,,,,2C,,,,,,,,,,,,,,,
2C-24-M5,1244,,,1244,M,,,,,,2C,,,,,,,,,,,,,,,
2C-24-M6,1678,,,1678,M,,,,,,2C,,,,,,,,,,,,,,,
2C-24-M7,1245,,,1245,M,,,,,,2C,,,,,,,,,,,,,,,
2C-24-M8,1247,,,1247,M,,,,,,2C,,,,,,,,,,,,,,,
2C-24-M9,1632,,,1632,M,,,,,,2C,,,,,,,,,,,,,,,
2C-25-F1,667,,,667,F,,,,,,,,2C,,,,,,,,,,,,,
2C-25-F2,669,,,669,F,,,,,,,,2C,,,,,,,,,,,,,
2C-25-F3,1927,,,1927,F,,,,,,,,2C,,,,,,,,,,,,,
2C-25-F4,1928,,,1928,F,,,,,,,,2C,,,,,,,,,,,,,
2C-25-M1,668,,,668,M,,,,,,,,2C,,,,,,,,,,,,,
2C-25-M2,699,,,699,M,,,,,,,,2C,,,,,,,,,,,,,
2C-25-M3,700,,,700,M,,,,,,,,2C,,,,,,,,,,,,,
2C-25-M4,1926,,,1926,M,,,,,,,,2C,,,,,,,,,,,,,
